"author","deterministic_author"
"Richer, of Saint-Rémy, active 10th century.","{'authorized_name': 'richer, of saint-rémy, active 10th century', 'author_id': 'A4660'}"
"Riese, Alexander, 1840-1922","{'authorized_name': 'riese, alexander, 1840-1922', 'author_id': 'A3465'}"
"Ritschl, Friedrich Wilhelm, 1806-1876.","{'authorized_name': 'ritschl, friedrich wilhelm, 1806-1876', 'author_id': 'A3472'}"
"Rossbach, August, 1823-1898.","{'authorized_name': 'rossbach, august, 1823-1898', 'author_id': 'A3422'}"
"Ruperti, Georg Alexander, 1758-1839.","{'authorized_name': 'ruperti, georg alexander, 1758-1839', 'author_id': 'A6073'}"
"Rutilius Lupus, Publius.","{'authorized_name': 'rutilius lupus, publius', 'author_id': 'A4568'}"
"Rutilius Namatianus, Claudius, 5th cent.","{'authorized_name': 'namatianus, claudius rutilius, active 5th century', 'author_id': 'A4453'}"
"Ruusbroec, Jan van, 1293-1381.","{'authorized_name': 'ruusbroec, jan van 1293-1381', 'author_id': 'A4218'}"
"Sa?chez de las Brozas, Francisco, 1522-1600.","{'authorized_name': 'sánchez de las brozas, francisco, 1523-1601', 'author_id': 'A4140'}"
"Sabellico, 1436?-1506","{'authorized_name': 'sabellico, 1436?-1506', 'author_id': 'A4237'}"
"Sallust, 86 B.C.-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}"
"Sallust, 86-34 B.C","{'authorized_name': 'sallust', 'author_id': 'A5543'}"
"Sallust, 86-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}"
"Sarbiewski, Maciej Kazimierz, 1595-1640,","{'authorized_name': 'sarbiewski, maciej kazimierz, 1595-1640', 'author_id': 'A3833'}"
"Sarbiewski, Maciej Kazimierz, 1595-1640.","{'authorized_name': 'sarbiewski, maciej kazimierz, 1595-1640', 'author_id': 'A3833'}"
"Saumaise, Claude de.","{'authorized_name': 'saumaise, claude, 1588-1653', 'author_id': 'A6021'}"
"Saumaise, Claude, 1588-1653.","{'authorized_name': 'saumaise, claude, 1588-1653', 'author_id': 'A6021'}"
"Sautel, Pierre-Juste, 1613-1662","{'authorized_name': 'sautel, pierre-juste, 1613-1662', 'author_id': 'A3847'}"
"Sayer, Gregory, (O.S.B.), 1560-1602","{'authorized_name': 'sayer, gregory, 1560-1602', 'author_id': 'A3285'}"
"Sánchez de las Brozas, Francisco, 1523-1601","{'authorized_name': 'sánchez de las brozas, francisco, 1523-1601', 'author_id': 'A4140'}"
"Scaligero, Giulio Cesare, 1484-1558","{'authorized_name': 'scaligero, giulio cesare', 'author_id': 'A3719'}"
"Scaligero, Giulio Cesare, 1484-1558.","{'authorized_name': 'scaligero, giulio cesare', 'author_id': 'A3719'}"
"Schoen, Henricus.","{'authorized_name': 'schenkl, heinrich, 1859-1919', 'author_id': 'A5952'}"
"Schottus, Andreas, 1552-1629","{'authorized_name': 'schottus, andreas, 1552-1629', 'author_id': 'A6012'}"
"Schottus, Andreas, 1552-1629.","{'authorized_name': 'schottus, andreas, 1552-1629', 'author_id': 'A6012'}"
"Schömann, Georg Friedrich, 1793-1879.","{'authorized_name': 'schömann, georg friedrich, 1793-1879', 'author_id': 'A6278'}"
"Schömann, Georg Friedrich, 1793-1879.","{'authorized_name': 'schömann, georg friedrich, 1793-1879', 'author_id': 'A6278'}"
"Scribonius Largus.","{'authorized_name': 'scribonius largus', 'author_id': 'A4555'}"
"Sedulius, active 5th century,","{'authorized_name': 'sedulius, active 5th century', 'author_id': 'A5260'}"
"Sedulius, active 5th century.","{'authorized_name': 'sedulius, active 5th century', 'author_id': 'A5260'}"
"Seneca, Lucio Anneo, ca. 4 a.C.-65 d.C.","{'authorized_name': 'seneca, lucius annaeus, approximately 4 b.c.-65 a.d.', 'author_id': 'A4655'}"
"Seneca, Lucius Annaeus, approximately 55 B.C.-approximately 39 A.D.","{'authorized_name': 'seneca, lucius annaeus, approximately 55 b.c.-approximately 39 a.d.', 'author_id': 'A4920'}"
"Seneca, Lucius Annaeus, ca. 55 B.C.-ca. 39 A.D.","{'authorized_name': 'seneca, lucius annaeus, approximately 55 b.c.-approximately 39 a.d.', 'author_id': 'A4920'}"
"Sepúlveda, Juan Ginés de, 1490-1573.","{'authorized_name': 'sepúlveda, juan ginés de, 1490-1573', 'author_id': 'A4189'}"
"Sepúlveda, Juan Ginés de, 1490-1573","{'authorized_name': 'sepúlveda, juan ginés de, 1490-1573', 'author_id': 'A4189'}"
"Sepúlveda, Juan Ginés de, 1490-1573.","{'authorized_name': 'sepúlveda, juan ginés de, 1490-1573', 'author_id': 'A4189'}"
"Sereno Samonico, Quinto.","{'authorized_name': 'serenus sammonicus, quintus', 'author_id': 'A4238'}"
"Serenus Sammonicus, Quintus","{'authorized_name': 'serenus sammonicus, quintus', 'author_id': 'A4238'}"
"Serenus Sammonicus, Quintus.","{'authorized_name': 'serenus sammonicus, quintus', 'author_id': 'A4238'}"
"Servetus, Michael, 1511?-1553,","{'authorized_name': 'servetus, michael, 1511?-1553', 'author_id': 'A4173'}"
"Servetus, Michael, 1511?-1553.","{'authorized_name': 'servetus, michael, 1511?-1553', 'author_id': 'A4173'}"
"Servius, active 4th century.","{'authorized_name': 'servius, active 4th century', 'author_id': 'A4777'}"
"Severus Sanctus Endelechius.","{'authorized_name': 'endelechius, severus sanctus ca. 4./5th century', 'author_id': 'A3070'}"
"Severus, Sulpicius,","{'authorized_name': 'severus, sulpicius', 'author_id': 'A4934'}"
"Severus, Sulpicius.","{'authorized_name': 'severus, sulpicius', 'author_id': 'A4934'}"
"Sidonius Apollinaris, Saint, 431 or 432-approximately 487","{'authorized_name': 'sidonius apollinaris, saint, 431 or 432-approximately 487', 'author_id': 'A4795'}"
"Sidonius Apollinaris, Saint, 431 or 432-approximately 487.","{'authorized_name': 'sidonius apollinaris, saint, 431 or 432-approximately 487', 'author_id': 'A4795'}"
"Sidonius, C. Sollius Modestus Apollinaris.","{'authorized_name': 'sidonius apollinaris, saint, 431 or 432-approximately 487', 'author_id': 'A4795'}"
"Sigonio, Carlo, 1524-1584.","{'authorized_name': 'sigonio, carlo, 1524?-1584', 'author_id': 'A3778'}"
"Sigonio, Carlo, 1524?-1584","{'authorized_name': 'sigonio, carlo, 1524?-1584', 'author_id': 'A3778'}"
"Sigonio, Carlo, 1524?-1584.","{'authorized_name': 'sigonio, carlo, 1524?-1584', 'author_id': 'A3778'}"
"Silius Italicus, Tiberius Catius","{'authorized_name': 'silius italicus, tiberius catius', 'author_id': 'A4804'}"
"Silius Italicus, Tiberius Catius.","{'authorized_name': 'silius italicus, tiberius catius', 'author_id': 'A4804'}"
"Sirmond, Jacques (S.I.), 1559-1651.","{'authorized_name': 'sirmond, jacques, 1559-1651', 'author_id': 'A5674'}"
"Sirmond, Jacques, (S.I.), 1559-1651.","{'authorized_name': 'sirmond, jacques, 1559-1651', 'author_id': 'A5674'}"
"Spengel, Leonhard von, 1803-1880","{'authorized_name': 'spengel, leonhard von, 1803-1880', 'author_id': 'A6095'}"
"Spengel, Leonhard von, 1803-1880.","{'authorized_name': 'spengel, leonhard von, 1803-1880', 'author_id': 'A6095'}"
"Spinoza, Benedictus de, 1632-1677","{'authorized_name': 'spinoza, benedictus de', 'author_id': 'A4708'}"
"Spinoza, Benedictus de, 1632-1677.","{'authorized_name': 'spinoza, benedictus de', 'author_id': 'A4708'}"
"Stanyhurst, Richard, 1547-1618.","{'authorized_name': 'stanyhurst, richard, 1547-1618', 'author_id': 'A3763'}"
"Stewechius, Godescalcus, 1551-1586.","{'authorized_name': 'stewechius, godescalcus, 1551-1586', 'author_id': 'A5943'}"
"Struve, K. L. 1785-1838.","{'authorized_name': 'struve, k. l. (karl ludwig), 1785-1838', 'author_id': 'A3271'}"
"Suarez, Francisco, 1548-1617,","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}"
"Suárez, Francisco, 1548-1617","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}"
"Suárez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}"
"Suetonius, approximately 69-approximately 122","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}"
"Suetonius, approximately 69-approximately 122,","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}"
"Suetonius, approximately 69-approximately 122.","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}"
"Suetonius, ca. 69-ca. 122","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}"
"Suetonius, ca. 69-ca. 122.","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}"
"Susemihl, Franz, 1826-1901.","{'authorized_name': 'susemihl, franz, 1826-1901', 'author_id': 'A3444'}"
"Suárez, Francisco, 1548-1617","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}"
"Suárez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}"
"Symmachus, Quintus Aurelius, approximately 340-402.","{'authorized_name': 'symmachus, quintus aurelius, approximately 340-402', 'author_id': 'A4823'}"
"Sáenz de Aguirre, José, 1630-1699.","{'authorized_name': 'sáenz de aguirre, josé, 1630-1699', 'author_id': 'A3214'}"
"Sánchez de las Brozas, Francisco, 1523-1601.","{'authorized_name': 'sánchez de las brozas, francisco, 1523-1601', 'author_id': 'A4140'}"
"Séneca, Lucio Anneo, ca. 4 a.C-65 d.C","{'authorized_name': 'seneca, lucius annaeus, approximately 4 b.c.-65 a.d.', 'author_id': 'A4655'}"
"Séneca, Lucio Anneo, ca. 4 a.C-65 d.C.","{'authorized_name': 'seneca, lucius annaeus, approximately 4 b.c.-65 a.d.', 'author_id': 'A4655'}"
"Tacitus, Cornelius","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}"
"Tacitus, Cornelius.","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}"
"Telesio, Antonio, 1482-1533?","{'authorized_name': 'telesio, antonio, 1482-1533?', 'author_id': 'A3685'}"
"Terence","{'authorized_name': 'terence', 'author_id': 'A4793'}"
"Terence.","{'authorized_name': 'terence', 'author_id': 'A4793'}"
"Tertullian, ca. 160-ca. 230","{'authorized_name': 'tertullian', 'author_id': 'A4829'}"
"Tertullian, ca. 160-ca. 230.","{'authorized_name': 'tertullian', 'author_id': 'A4829'}"
"Thomas à Kempis, 1380-1471","{'authorized_name': 'thomas, à kempis, 1380-1471', 'author_id': 'A4319'}"
"Thomas à Kempis, 1380-1471.","{'authorized_name': 'thomas, à kempis, 1380-1471', 'author_id': 'A4319'}"
"Thomas, Aquinas, Saint, 1225?-1274","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}"
"Thomas, Aquinas, Saint, 1225?-1274.","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}"
"Thomas, à Becket, Saint, 1118?-1170.","{'authorized_name': 'thomas, à becket, saint', 'author_id': 'A5000'}"
"Thomas, à Kempis, 1380-1471","{'authorized_name': 'thomas, à kempis, 1380-1471', 'author_id': 'A4319'}"
"Thomas, à Kempis, 1380-1471.","{'authorized_name': 'thomas, à kempis, 1380-1471', 'author_id': 'A4319'}"
"Thomas, à Kempis, 1380-1471","{'authorized_name': 'thomas, à kempis, 1380-1471', 'author_id': 'A4319'}"
"Thomas, à Kempis, 1380-1471.","{'authorized_name': 'thomas, à kempis, 1380-1471', 'author_id': 'A4319'}"
"Thomasius, Christian, 1655-1728","{'authorized_name': 'thomasius, christian, 1655-1728', 'author_id': 'A3696'}"
"Thomasius, Christian, 1655-1728.","{'authorized_name': 'thomasius, christian, 1655-1728', 'author_id': 'A3696'}"
"Thou, Jacques-Auguste de, 1553-1617.","{'authorized_name': 'thou, jacques-auguste de, 1553-1617', 'author_id': 'A4086'}"
"Tibullus","{'authorized_name': 'tibullus', 'author_id': 'A4791'}"
"Tibullus.","{'authorized_name': 'tibullus', 'author_id': 'A4791'}"
"Torquemada, Juan de, 1388-1468","{'authorized_name': 'torquemada, juan de, 1388-1468', 'author_id': 'A4366'}"
"Torquemada, Juan de, 1388-1468.","{'authorized_name': 'torquemada, juan de, 1388-1468', 'author_id': 'A4366'}"
"Trigault, Nicolas, 1577-1628","{'authorized_name': 'trigault, nicolas, 1577-1628', 'author_id': 'A4131'}"
"Trigault, Nicolas, 1577-1628.","{'authorized_name': 'trigault, nicolas, 1577-1628', 'author_id': 'A4131'}"
"Trogo Pompeyo.","{'authorized_name': 'trogus, pompeius', 'author_id': 'A4591'}"
"Turnèbe, Adrien, 1512-1565","{'authorized_name': 'turnèbe, adrien, 1512-1565', 'author_id': 'A6000'}"
"Turnébe, Adrien, 1512-1565.","{'authorized_name': 'turnèbe, adrien, 1512-1565', 'author_id': 'A6000'}"
"Ubaldi, Baldo degli, 1327?-1400","{'authorized_name': 'ubaldi, baldo degli, 1327?-1400', 'author_id': 'A4384'}"
"Ulpian.","{'authorized_name': 'ulpianus, domitius', 'author_id': 'A3897'}"
"Ursinus Velius, Caspar, 1493-1539.","{'authorized_name': 'vel, caspar ursinus, 1493-1538', 'author_id': 'A5594'}"
"Ursinus Velius, Caspar.","{'authorized_name': 'vel, caspar ursinus, 1493-1538', 'author_id': 'A5594'}"
"Vadianus, Joachim, 1484-1551.","{'authorized_name': 'vadianus, joachim, 1484-1551', 'author_id': 'A4160'}"
"Vahlen, Johannes, 1830-1911","{'authorized_name': 'vahlen, johannes, 1830-1911', 'author_id': 'A3463'}"
"Vahlen, Johannes, 1830-1911.","{'authorized_name': 'vahlen, johannes, 1830-1911', 'author_id': 'A3463'}"
"Valeriano Bolzani, Giovan Piero, 1477-1558.","{'authorized_name': 'valeriano, pierio, 1477-1560', 'author_id': 'A2935'}"
"Valeriano, Pierio, 1477-1560.","{'authorized_name': 'valeriano, pierio, 1477-1560', 'author_id': 'A2935'}"
"Valerius, Cornelius.","{'authorized_name': 'valerianus, cornelius', 'author_id': 'A2880'}"
"Valla, Lorenzo, 1406-1457.","{'authorized_name': 'valla, lorenzo, 1407-1457', 'author_id': 'A3786'}"
"Valla, Lorenzo, 1407-1457.","{'authorized_name': 'valla, lorenzo, 1407-1457', 'author_id': 'A3786'}"
"Valois, Henri de, 1603-1676.","{'authorized_name': 'valois, henri de, 1603-1676', 'author_id': 'A5985'}"
"Vast, Henri, 1847-1921","{'authorized_name': 'vast, henri, 1847-1921', 'author_id': 'A3311'}"
"Vattasso, Marco, 1869-1925.","{'authorized_name': 'vattasso, marco, 1869-1925', 'author_id': 'A3331'}"
"Vegetius Renatus, Flavius.","{'authorized_name': 'vegetius renatus, flavius', 'author_id': 'A4794'}"
"Vegio, Maffeo, 1407-1458","{'authorized_name': 'vegio, maffeo', 'author_id': 'A4750'}"
"Vel, Caspar Ursinus, 1493-1538.","{'authorized_name': 'vel, caspar ursinus, 1493-1538', 'author_id': 'A5594'}"
"Velleius Paterculus, approximately 19 B.C.-approximately 30 A.D.","{'authorized_name': 'velleius paterculus', 'author_id': 'A4542'}"
"Vergil, Polydore, 1470?-1555","{'authorized_name': 'vergil, polydore, 1470?-1555', 'author_id': 'A3762'}"
"Vergil, Polydore, 1470?-1555.","{'authorized_name': 'vergil, polydore, 1470?-1555', 'author_id': 'A3762'}"
"Verino, Ugolino, 1438-1516","{'authorized_name': 'verino, ugolino, 1438-1516', 'author_id': 'A3804'}"
"Verino, Ugolino, 1438-1516.","{'authorized_name': 'verino, ugolino, 1438-1516', 'author_id': 'A3804'}"
"Vermigli, Pietro Martire, 1499-1562.","{'authorized_name': 'vermigli, pietro martire, 1499-1562', 'author_id': 'A4302'}"
"Verrius Flaccus, Marcus","{'authorized_name': 'verrius flaccus, marcus', 'author_id': 'A3559'}"
"Vettori, Pietro, 1499-1585","{'authorized_name': 'vettori, pietro, 1499-1585', 'author_id': 'A5997'}"
"Vettori, Pietro, 1499-1585.","{'authorized_name': 'vettori, pietro, 1499-1585', 'author_id': 'A5997'}"
"Vico, Giambattista, 1668-1744","{'authorized_name': 'vico, giambattista', 'author_id': 'A5547'}"
"Victor, Sextus Aurelius","{'authorized_name': 'victor, sextus aurelius', 'author_id': 'A4936'}"
"Victor, Sextus Aurelius.","{'authorized_name': 'victor, sextus aurelius', 'author_id': 'A4936'}"
"Victorinus, Saint, Bishop of Poetovio, -304?","{'authorized_name': 'victorinus, saint, bishop of poetovio', 'author_id': 'A4868'}"
"Vida, Marco Girolamo, ca. 1485-1566.","{'authorized_name': 'vida, marco girolamo', 'author_id': 'A5557'}"
"Vida, Marco Girolamo.","{'authorized_name': 'vida, marco girolamo', 'author_id': 'A5557'}"
"Villani, Filippo, -1405.","{'authorized_name': 'villani, filippo, -1405?', 'author_id': 'A5710'}"
"Viperano, Giovanni Antonio, 1535-1610.","{'authorized_name': 'viperano, giovanni antonio, 1535-1610', 'author_id': 'A3790'}"
"Virgil","{'authorized_name': 'virgil', 'author_id': 'A4830'}"
"Virgil,","{'authorized_name': 'virgil', 'author_id': 'A4830'}"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}"
"Virgile (0070-0019 av. J.-C.).","{'authorized_name': 'virgil', 'author_id': 'A4830'}"
"Virgilio Marón, Publio, 70-19 a. C.","{'authorized_name': 'virgil', 'author_id': 'A4830'}"
"Virgilius Maro, Grammaticus, active 7th century.","{'authorized_name': 'virgilius maro, grammaticus, active 7th century', 'author_id': 'A4850'}"
"Vitoria, Francisco de, 1483-1546.","{'authorized_name': 'vitoria, francisco de, 1486?-1546', 'author_id': 'A3694'}"
"Vives, Juan Luis, 1492-1540","{'authorized_name': 'vives, juan luis, 1492-1540', 'author_id': 'A4307'}"
"Vives, Juan Luis, 1492-1540.","{'authorized_name': 'vives, juan luis, 1492-1540', 'author_id': 'A4307'}"
"Vliet, Joannes van der.","{'authorized_name': 'vliet, joannes van der, 1847-1902', 'author_id': 'A6128'}"
"Volpi, Gio. Antonio, 1686-1766","{'authorized_name': 'volpi, gio. antonio, 1686-1766', 'author_id': 'A6050'}"
"Vossius, Gerardus Joannes, 1577-1649","{'authorized_name': 'vossius, gerardus joannes, 1577-1649', 'author_id': 'A3771'}"
"Vossius, Gerardus Joannes, 1577-1649.","{'authorized_name': 'vossius, gerardus joannes, 1577-1649', 'author_id': 'A3771'}"
"Vossius, Gerhard Johann, 1577-1649.","{'authorized_name': 'vossius, gerardus joannes, 1577-1649', 'author_id': 'A3771'}"
"Vossius, Isaac, 1618-1689.","{'authorized_name': 'vossius, isaac, 1618-1689', 'author_id': 'A6027'}"
"Walram, Bishop of Naumberg, d. 1111.","{'authorized_name': 'walram, bishop of naumburg', 'author_id': 'A5538'}"
"Walter, of Aquitaine.","{'authorized_name': 'walter, of aquitaine', 'author_id': 'A4846'}"
"Weichert, Jonathan August, 1788-1844.","{'authorized_name': 'weichert, august, 1788-1844', 'author_id': 'A6089'}"
"Widukind, of Corvey, approximately 925-approximately 973","{'authorized_name': 'widukind, of corvey, approximately 925-approximately 973', 'author_id': 'A4475'}"
"Widukind, of Corvey, approximately 925-approximately 973.","{'authorized_name': 'widukind, of corvey, approximately 925-approximately 973', 'author_id': 'A4475'}"
"Wölfflin, Eduard von, 1831-1908.","{'authorized_name': 'wölfflin, eduard von, 1831-1908', 'author_id': 'A3471'}"
"Wycliffe, John, -1384.","{'authorized_name': 'wycliffe, john, -1384', 'author_id': 'A4338'}"
"Wyttenbach, Daniel Albert, 1746-1820","{'authorized_name': 'wyttenbach, daniel albert, 1746-1820', 'author_id': 'A3223'}"
"Wyttenbach, Daniel Albert, 1746-1820.","{'authorized_name': 'wyttenbach, daniel albert, 1746-1820', 'author_id': 'A3223'}"
"Zanchi, Basilio, 1501-1558","{'authorized_name': 'zanchi, basilio, 1501-approximately 1558', 'author_id': 'A3740'}"
"Zwingli, Ulrich 1484-1531.","{'authorized_name': 'zwingli, ulrich, 1484-1531', 'author_id': 'A5582'}"
"Zwingli, Ulrich, 1484-1531.","{'authorized_name': 'zwingli, ulrich, 1484-1531', 'author_id': 'A5582'}"
